-10	0	0
-9.9	0	0
-9.8	0	0
-9.7	0	0
-9.6	0	0
-9.5	0	0
-9.4	0	0
-9.3	0	0
-9.2	0	0
-9.1	0	0
-9	0	0
-8.9	0	0
-8.8	0	0
-8.7	0	0
-8.6	0	0
-8.5	0	0
-8.4	0	0
-8.3	0	0
-8.2	0	0
-8.1	0	0
-8	0	0
-7.9	0	0
-7.8	0	0
-7.7	0	0
-7.6	0	0
-7.5	0	0
-7.4	0	0
-7.3	0	0
-7.2	0	0
-7.1	0	0
-7	0	0
-6.9	0	0
-6.8	0	0
-6.7	0	0
-6.6	0	0
-6.5	0	0
-6.4	0	0
-6.3	0	0
-6.2	0	0
-6.1	0	0
-6	0	0
-5.9	0	0
-5.8	0	0
-5.7	0	0
-5.6	0	0
-5.5	0	0
-5.4	0	0
-5.3	0	0
-5.2	0	0
-5.1	0	0
-5	0	0
-4.9	0	0
-4.8	0	0
-4.7	0	0
-4.6	0	0
-4.5	0	0
-4.4	0	0
-4.3	0	0
-4.2	0	0
-4.1	0	0
-4	0	0
-3.9	0	0
-3.8	0	0
-3.7	0	0
-3.6	0	0
-3.5	0	0
-3.4	0	0
-3.3	0	0
-3.2	0	0
-3.1	0	0
-3	0	0
-2.9	0	0
-2.8	0	0
-2.7	0	0
-2.6	0	0
-2.5	0	0
-2.4	0	0
-2.3	0	0
-2.2	8.72503e-315	8.72503e-315
-2.1	8.96935e-287	8.96935e-287
-2	4.59062e-260	4.59062e-260
-1.9	1.16977e-234	1.16977e-234
-1.8	1.48403e-210	1.48403e-210
-1.7	9.37352e-188	9.37352e-188
-1.6	2.94767e-166	2.94767e-166
-1.5	4.61501e-146	4.61501e-146
-1.4	3.59735e-127	3.59735e-127
-1.3	1.39608e-109	1.39608e-109
-1.2	2.69744e-93	2.69744e-93
-1.1	2.59485e-78	2.59485e-78
-1	1.24276e-64	1.24276e-64
-0.9	2.96334e-52	2.96334e-52
-0.8	3.51796e-41	3.51796e-41
-0.7	2.0793e-31	2.0793e-31
-0.6	6.11869e-23	6.11869e-23
-0.5	8.96432e-16	8.96432e-16
-0.4	6.53872e-10	6.53872e-10
-0.3	2.37457e-05	2.37457e-05
-0.2	0.0429332	0.0429332
-0.1	3.86473	3.86473
0	17.3205	17.3205
0.1	3.86473	3.86473
0.2	0.0429332	0.0429332
0.3	2.37457e-05	2.37457e-05
0.4	6.53872e-10	6.53872e-10
0.5	8.96432e-16	8.96432e-16
0.6	6.11869e-23	6.11869e-23
0.7	2.0793e-31	2.0793e-31
0.8	3.51796e-41	3.51796e-41
0.9	2.96334e-52	2.96334e-52
1	1.24276e-64	1.24276e-64
1.1	2.59485e-78	2.59485e-78
1.2	2.69744e-93	2.69744e-93
1.3	1.39608e-109	1.39608e-109
1.4	3.59735e-127	3.59735e-127
1.5	4.61501e-146	4.61501e-146
1.6	2.94767e-166	2.94767e-166
1.7	9.37352e-188	9.37352e-188
1.8	1.48403e-210	1.48403e-210
1.9	1.16977e-234	1.16977e-234
2	4.59062e-260	4.59062e-260
2.1	8.96935e-287	8.96935e-287
2.2	8.72503e-315	8.72503e-315
2.3	0	0
2.4	0	0
2.5	0	0
2.6	0	0
2.7	0	0
2.8	0	0
2.9	0	0
3	0	0
3.1	0	0
3.2	0	0
3.3	0	0
3.4	0	0
3.5	0	0
3.6	0	0
3.7	0	0
3.8	0	0
3.9	0	0
4	0	0
4.1	0	0
4.2	0	0
4.3	0	0
4.4	0	0
4.5	0	0
4.6	0	0
4.7	0	0
4.8	0	0
4.9	0	0
5	0	0
5.1	0	0
5.2	0	0
5.3	0	0
5.4	0	0
5.5	0	0
5.6	0	0
5.7	0	0
5.8	0	0
5.9	0	0
6	0	0
6.1	0	0
6.2	0	0
6.3	0	0
6.4	0	0
6.5	0	0
6.6	0	0
6.7	0	0
6.8	0	0
6.9	0	0
7	0	0
7.1	0	0
7.2	0	0
7.3	0	0
7.4	0	0
7.5	0	0
7.6	0	0
7.7	0	0
7.8	0	0
7.9	0	0
8	0	0
8.1	0	0
8.2	0	0
8.3	0	0
8.4	0	0
8.5	0	0
8.6	0	0
8.7	0	0
8.8	0	0
8.9	0	0
9	0	0
9.1	0	0
9.2	0	0
9.3	0	0
9.4	0	0
9.5	0	0
9.6	0	0
9.7	0	0
9.8	0	0
9.9	0	0


-10	0	0
-9.9	0	0
-9.8	0	0
-9.7	0	0
-9.6	0	0
-9.5	0	0
-9.4	0	0
-9.3	0	0
-9.2	0	0
-9.1	0	0
-9	0	0
-8.9	0	0
-8.8	0	0
-8.7	0	0
-8.6	0	0
-8.5	0	0
-8.4	0	0
-8.3	0	0
-8.2	0	0
-8.1	0	0
-8	0	0
-7.9	0	0
-7.8	0	0
-7.7	0	0
-7.6	0	0
-7.5	0	0
-7.4	0	0
-7.3	0	0
-7.2	0	0
-7.1	0	0
-7	0	0
-6.9	0	0
-6.8	0	0
-6.7	0	0
-6.6	0	0
-6.5	0	0
-6.4	0	0
-6.3	0	0
-6.2	0	0
-6.1	0	0
-6	0	0
-5.9	0	0
-5.8	0	0
-5.7	0	0
-5.6	0	0
-5.5	0	0
-5.4	0	0
-5.3	0	0
-5.2	0	0
-5.1	0	0
-5	0	0
-4.9	0	0
-4.8	0	0
-4.7	0	0
-4.6	0	0
-4.5	0	0
-4.4	0	0
-4.3	0	0
-4.2	0	0
-4.1	0	0
-4	0	0
-3.9	0	0
-3.8	0	0
-3.7	0	0
-3.6	0	0
-3.5	0	0
-3.4	0	0
-3.3	0	0
-3.2	0	0
-3.1	0	0
-3	0	0
